,Dap,Dap,Dap,Dap,Dap,Dap,Dap,Dap,HC,HC,HC,HC,HC,HC,HC,HC,HT,HT,HT,HT,HT,HT,HT,HT,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Especie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguanillo,164.0,54.81707317073171,8.227036155047191,46.0,49.0,52.5,58.25,87.0,164.0,15.902439024390244,3.017778633315364,6.0,14.0,17.0,18.0,22.0,164.0,19.975609756097562,2.357474003037204,12.0,19.0,20.0,21.0,26.0,164.0,2.529567073170732,1.1171814179563515,0.972,1.8375000000000001,2.222,2.986,7.728,164.0,675335.1235359756,1198.970854498533,673560.2599,674243.5,675264.5,676405.25,677858.0,164.0,9631773.64645122,1475.972429017549,9630620.0,9630888.75,9631226.5,9631930.75,9636312.0
Almendro,152.0,82.16447368421052,20.184396333561633,55.0,68.0,76.0,91.0,150.0,152.0,13.657894736842104,2.6043907478821673,7.0,12.0,14.0,16.0,19.0,152.0,18.723684210526315,2.09444983504908,12.0,18.0,19.0,20.0,24.0,152.0,5.033756578947369,2.8775110749937,1.327,3.0155,4.236000000000001,6.2145,17.174,152.0,675343.1513157894,1358.9544225790885,673567.0,674130.5,675038.0,676338.5,678031.0,152.0,9632290.80263158,1695.561182139157,9630621.0,9631207.5,9631685.5,9632227.75,9636602.0
Ana caspi,55.0,78.41818181818182,18.348166634713643,52.0,64.0,79.0,85.5,150.0,55.0,16.763636363636362,2.395703224398619,10.0,16.0,18.0,18.0,22.0,55.0,21.12727272727273,2.1521268158846567,15.0,20.5,21.0,22.0,25.0,55.0,5.65301818181818,3.339581319350105,1.921,3.387,5.554,6.639,22.973,55.0,674968.3636363636,1415.1655231500156,673608.0,673758.5,674251.0,676343.5,678007.0,55.0,9632211.0,1503.7035513592332,9630615.0,9630985.5,9631900.0,9632812.0,9636541.0
Andiroba,112.0,59.9375,9.878798163397871,43.0,52.75,57.5,67.0,91.0,112.0,14.732142857142858,3.3744726457723195,7.0,12.0,15.0,18.0,22.0,112.0,19.080357142857142,2.7839255221254233,12.0,17.0,19.5,21.0,26.0,112.0,2.8254017857142855,1.3339853752039577,0.902,1.87475,2.5575,3.5095,8.115,112.0,675940.4553571428,1207.972114173043,673568.0,675257.25,676075.5,676991.75,678057.0,112.0,9632186.857142856,1632.1990519460992,9630613.0,9631265.5,9631628.5,9632115.5,9636705.0
Anuje rumo,129.0,65.8062015503876,10.593392338637802,47.0,58.0,65.0,72.0,106.0,129.0,15.325581395348838,2.619526408466073,9.0,14.0,16.0,17.0,21.0,129.0,19.635658914728683,2.4074687968386916,12.0,19.0,20.0,21.0,25.0,129.0,3.504899224806201,1.4064078847199768,1.291,2.471,3.039,4.253,8.031,129.0,675405.4573643411,1285.8651635654198,673599.0,674271.0,675264.0,676418.0,678031.0,129.0,9632155.186046511,1501.231415202626,9630616.0,9631292.0,9631614.0,9632132.0,9636671.0
Azucar huayo,68.0,61.55882352941177,9.152737707947438,51.0,55.0,60.0,65.25,107.0,68.0,16.720588235294116,2.348995264638131,8.0,16.0,17.0,18.0,20.0,68.0,20.852941176470587,1.9567312514798751,14.0,20.0,21.0,22.0,24.0,68.0,3.334279411764706,1.3339582088106734,1.47,2.52025,3.1265,3.768,10.521,68.0,675286.7647058824,1393.4582891180678,673594.0,674123.25,674961.5,676234.25,678038.0,68.0,9632283.323529411,1556.8159856480943,9630628.0,9631264.5,9631767.0,9632202.75,9636628.0
Cachimbo,51.0,85.27450980392157,21.85596342545672,50.0,68.5,82.0,99.0,150.0,51.0,17.274509803921568,2.691307722075267,10.0,16.0,18.0,18.5,22.0,51.0,21.313725490196077,2.5336945046980803,15.0,20.0,21.0,23.0,26.0,51.0,7.005549019607843,4.299821020990178,1.721,3.9455,5.836,8.776,25.27,51.0,675263.0784313725,1231.652318523978,673599.0,674292.0,675178.0,675928.0,677781.0,51.0,9632048.274509804,1465.5283563060987,9630651.0,9631035.5,9631597.0,9632203.5,9636180.0
Caimitillo,102.0,65.07843137254902,10.286669518958668,48.0,58.0,65.0,70.0,115.0,102.0,15.411764705882353,2.674977343020439,8.0,13.25,16.0,17.75,20.0,102.0,19.470588235294116,2.306709466197332,13.0,18.0,20.0,21.0,23.0,102.0,3.426843137254902,1.2568917716516033,1.328,2.5772500000000003,3.346,4.013,8.102,102.0,675447.2549019608,1426.0131134488938,673565.0,674136.0,675012.5,676871.25,678079.0,102.0,9632044.784313725,1308.561485349322,9630615.0,9631266.25,9631825.0,9632120.25,9636640.0
