N°,PC,Nro Arbol,Faja,Especie,Dap ,HC,HT,CF,VOL M3,ESTE,NORTE,Condicion,Obs,COD_cond,COD_sp1,COD_sp2,COD_GPS
1,1,1,1,Cumala llorona,65,16,20,1,3.451,675753,9630643,Aprovechable,,,Cuma,ll,Cuma ll_1/1
2,1,2,1,Almendro,110,14,19,2,8.648,675804,9630662,Aprovechable,,,Alme,,Alme_1/2
3,1,3,1,Mari mari,47,13,19,2,1.466,675811,9630667,Aprovechable,,,Mari,ma,Mari ma_1/3
4,1,4,1,Azucar huayo,65,16,21,1,3.451,675729,9630714,Aprovechable,,,Azuc,hu,Azuc hu_1/4
5,1,5,1,Huayruro,66,13,18,1,2.891,675771,9630741,Aprovechable,,,Huay,,Huay_1/5
6,1,6,1,Cumala blanca,48,16,21,1,0,675789,9630733,Semillero,,S,Cuma,bl,S_Cuma bl_1/6
7,1,7,1,Andiroba,67,13,20,1,2.979,675793,9630752,Aprovechable,,,Andi,,Andi_1/7
8,1,8,1,Panguana,65,15,19,1,3.235,675786,9630765,Aprovechable,,,Pang,,Pang_1/8
9,1,9,1,Requia,95,12,18,2,5.529,675756,9630772,Aprovechable,,,Requ,,Requ_1/9
10,1,10,1,Machimango,50,16,20,1,0,675742,9630773,Semillero,,S,Mach,,S_Mach_1/10
11,1,11,1,Marupa,52,12,19,1,1.657,675730,9630769,Aprovechable,,,Maru,,Maru_1/11
12,1,12,1,Palisangre,100,10,18,1,5.105,675726,9630821,Aprovechable,,,Pali,,Pali_1/12
13,1,13,1,Aguanillo,50,17,21,1,2.17,675744,9630837,Aprovechable,,,Agua,,Agua_1/13
14,1,14,1,Machimango,66,16,22,1,3.558,675773,9630831,Aprovechable,,,Mach,,Mach_1/14
15,1,15,1,Copal,54,17,22,1,2.531,675771,9630863,Aprovechable,,,Copa,,Copa_1/15
16,1,16,1,Marupa,60,19,25,1,3.492,675772,9630866,Aprovechable,,,Maru,,Maru_1/16
17,1,17,1,Cumala blanca,50,14,19,2,1.787,675731,9630899,Aprovechable,,,Cuma,bl,Cuma bl_1/17
18,1,18,1,Mashonaste,56,18,23,1,2.882,675770,9630924,Aprovechable,,,Mash,,Mash_1/18
19,1,19,1,Cumala caupuri,63,19,24,1,3.85,675802,9630900,Aprovechable,Cumala blanca,,Cuma,ca,Cuma ca_1/19
20,1,20,1,Cumala blanca,55,16,21,1,2.471,675813,9630898,Aprovechable,,,Cuma,bl,Cuma bl_1/20
21,1,21,1,Quillosisa,57,10,17,1,1.659,675810,9630965,Aprovechable,,,Quil,,Quil_1/21
22,1,22,1,Machimango,80,17,22,1,5.554,675809,9630985,Aprovechable,,,Mach,,Mach_1/22
23,1,23,1,Mari mari,60,12,20,1,2.205,675805,9630982,Aprovechable,,,Mari,ma,Mari ma_1/23
24,1,24,1,Quillosisa,75,14,23,1,4.02,675798,9630978,Aprovechable,,,Quil,,Quil_1/24
25,1,25,1,Andiroba,55,10,16,1,1.544,675776,9630991,Aprovechable,,,Andi,,Andi_1/25
26,1,26,1,Cumala blanca,60,17,23,1,3.124,675774,9630988,Aprovechable,,,Cuma,bl,Cuma bl_1/26
27,1,27,1,Cumala blanca,67,18,22,1,4.125,675746,9630986,Aprovechable,,,Cuma,bl,Cuma bl_1/27
28,1,28,1,Cumala blanca,47,16,22,1,1.804,675752,9630970,Aprovechable,,,Cuma,bl,Cuma bl_1/28
29,1,29,1,Cumala blanca,55,14,21,1,2.162,675745,9630970,Aprovechable,,,Cuma,bl,Cuma bl_1/29
30,1,30,1,Pashaco,75,14,21,1,4.02,675731,9631003,Aprovechable,,,Pash,,Pash_1/30
31,1,31,1,Cumala blanca,46,15,21,1,1.62,675759,9631036,Aprovechable,,,Cuma,bl,Cuma bl_1/31
32,1,32,1,Cumala blanca,49,16,20,1,1.961,675825,9631058,Aprovechable,,,Cuma,bl,Cuma bl_1/32
33,1,33,1,Yacushapana,110,10,20,1,6.177,675775,9631089,Aprovechable,,,Yacu,,Yacu_1/33
34,1,34,1,Machimango,47,15,22,1,1.692,675772,9631087,Aprovechable,,,Mach,,Mach_1/34
36,1,36,1,Yacushapana,53,15,20,1,2.151,675749,9631072,Aprovechable,,,Yacu,,Yacu_1/36
37,1,37,1,Palisangre,57,12,18,1,1.99,675757,9631047,Aprovechable,,,Pali,,Pali_1/37
38,1,38,1,Palisangre,90,11,19,1,4.549,675777,9631153,Aprovechable,,,Pali,,Pali_1/38
