N°,PC,Bloq,Faja,N° de árbol,Especie (Exp inicial),Especie Reformulada,Código,Diametro (cm),Alt Cial (m),Volumen (m3),Coord  Este,Coord Norte,Condición 1,Fecha tala-Real,N°OP Parte,Código de Árbol,R,Especie Tala,D1 (cm),D2 (cm),L (m),Vol. (m3) Talado,Condición de Tala,Observación,FECHA-ARRASTRE,Obervacion,Fecha Trozado,N° Parte,CORRELATIVO,Codigo Patio,Especie Trozado,D1 (cm),D2 (cm),L (m),Vol. (m3) Trozado,Condición de Tala,Observación,n° de arboles
1,3,1,1,1,Panguana,Panguana,1-1-1,65,15,3.235,647274,9507014,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
2,3,1,1,3,Yacushapana,Yacushapana,1-1-3,68,16,3.777,647308,9507176,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
3,3,1,1,4,Pashaco,Pashaco,1-1-4,76,18,5.308,647279,9507202,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
4,3,1,1,5,Tangarana,Tangarana,1-1-5,64,14,2.927,647276,9507243,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
5,3,1,1,6,Mari mari,Mari mari,1-1-6,72,17,4.499,647273,9507393,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
6,3,1,1,8,Pashaco,Pashaco,1-1-8,105,18,10.131,647250,9507451,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
7,3,1,1,10,Cumala,Cumala,1-1-10,59,18,3.199,647262,9507455,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
8,3,1,1,11,Almendro,Almendro,1-1-11,100,13,6.637,647294,9507464,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
9,3,1,1,12,Quillosisa,Quillosisa,1-1-12,93,19,8.389,647305,9507455,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
10,3,1,1,13,Quillosisa,Quillosisa,1-1-13,99,17,8.506,647311,9507447,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
