,Especie,Dap,HC,HT,CF,VOL M3,ESTE,NORTE,Condicion,Dap_Outlier,HT_Outlier,Color,Dap_z,HT_z,HT_zscore,Dap_zscore
0,Cumala llorona,65.0,16.0,20.0,1,3.451,675753.0,9630643.0,True,False,False,Inlier,0.6177794975196921,-0.09585311515779432,-0.09585311515779432,0.6177794975196921
1,Almendro,110.0,14.0,19.0,2,8.648,675804.0,9630662.0,True,False,False,Inlier,1.5614302005311302,0.11139501147451951,0.11139501147451951,1.5614302005311302
2,Mari mari,47.0,13.0,19.0,2,1.466,675811.0,9630667.0,True,False,False,Inlier,-1.2794873213960245,-0.7538363066373317,-0.7538363066373317,-1.2794873213960245
3,Azucar huayo,65.0,16.0,21.0,1,3.451,675729.0,9630714.0,True,False,False,Inlier,0.3821166483207243,0.01592032883106568,0.01592032883106568,0.3821166483207243
4,Huayruro,66.0,13.0,18.0,1,2.891,675771.0,9630741.0,True,False,False,Inlier,-0.2667217773885586,-1.5874507866387544,-1.5874507866387544,-0.2667217773885586
5,Cumala blanca,48.0,16.0,21.0,1,0.0,675789.0,9630733.0,False,False,False,Inlier,-0.8922909570664038,0.09305176734769184,0.09305176734769184,-0.8922909570664038
6,Andiroba,67.0,13.0,20.0,1,2.979,675793.0,9630752.0,True,False,False,Inlier,0.825662894011085,0.2686274577822891,0.2686274577822891,0.825662894011085
7,Panguana,65.0,15.0,19.0,1,3.235,675786.0,9630765.0,True,False,False,Inlier,-0.7959943942911971,-1.020469579746986,-1.020469579746986,-0.7959943942911971
8,Requia,95.0,12.0,18.0,2,5.529,675756.0,9630772.0,True,False,False,Inlier,1.8211334566982076,-0.7137464271463296,-0.7137464271463296,1.8211334566982076
9,Machimango,50.0,16.0,20.0,1,0.0,675742.0,9630773.0,False,False,False,Inlier,-1.1783892010864596,-0.41025306744479323,-0.41025306744479323,-1.1783892010864596
10,Marupa,52.0,12.0,19.0,1,1.657,675730.0,9630769.0,True,False,False,Inlier,-0.6162259433523559,-0.6824372531572895,-0.6824372531572895,-0.6162259433523559
11,Palisangre,100.0,10.0,18.0,1,5.105,675726.0,9630821.0,True,False,False,Inlier,1.4053777079123029,-1.0957735614979403,-1.0957735614979403,1.4053777079123029
12,Aguanillo,50.0,17.0,21.0,1,2.17,675744.0,9630837.0,True,False,False,Inlier,-0.5139967614108548,,,-0.5139967614108548
13,Machimango,66.0,16.0,22.0,1,3.558,675773.0,9630831.0,True,False,False,Inlier,0.36027629625174434,0.5103147912118169,0.5103147912118169,0.36027629625174434
14,Copal,54.0,17.0,22.0,1,2.531,675771.0,9630863.0,True,False,False,Inlier,-0.8129794925173928,0.6370604216933744,0.6370604216933744,-0.8129794925173928
15,Marupa,60.0,19.0,25.0,1,3.492,675772.0,9630866.0,True,False,False,Inlier,0.2291976225831702,1.6881342578101382,1.6881342578101382,0.2291976225831702
16,Cumala blanca,50.0,14.0,19.0,2,1.787,675731.0,9630899.0,True,False,False,Inlier,-0.6698962504419506,-0.7852498064664966,-0.7852498064664966,-0.6698962504419506
17,Mashonaste,56.0,18.0,23.0,1,2.882,675770.0,9630924.0,True,False,False,Inlier,-0.14568982960957497,1.0534884948077103,1.0534884948077103,-0.14568982960957497
18,Cumala caupuri,63.0,19.0,24.0,1,3.85,675802.0,9630900.0,True,False,False,Inlier,0.5523389174067426,1.240215068269098,1.240215068269098,0.5523389174067426
19,Cumala blanca,55.0,16.0,21.0,1,2.471,675813.0,9630898.0,True,False,False,Inlier,-0.11390948388081742,0.09305176734769184,0.09305176734769184,-0.11390948388081742
20,Quillosisa,57.0,10.0,17.0,1,1.659,675810.0,9630965.0,True,False,False,Inlier,-0.5606207872362668,-1.5871197537297141,-1.5871197537297141,-0.5606207872362668
21,Machimango,80.0,17.0,22.0,1,5.554,675809.0,9630985.0,True,False,False,Inlier,1.7066086064226729,0.5103147912118169,0.5103147912118169,1.7066086064226729
22,Mari mari,60.0,12.0,20.0,1,2.205,675805.0,9630982.0,True,False,False,Inlier,-0.5237844453419601,-0.39557746783939207,-0.39557746783939207,-0.5237844453419601
23,Quillosisa,75.0,14.0,23.0,1,4.02,675798.0,9630978.0,True,False,False,Inlier,0.9259473314318236,1.0494635505118295,1.0494635505118295,0.9259473314318236
24,Andiroba,55.0,10.0,16.0,1,1.544,675776.0,9630991.0,True,False,False,Inlier,-0.38283331417815053,-1.1606733553234754,-1.1606733553234754,-0.38283331417815053
25,Cumala blanca,60.0,17.0,23.0,1,3.124,675774.0,9630988.0,True,False,False,Inlier,0.4420772826803157,0.9713533411618802,0.9713533411618802,0.4420772826803157
26,Cumala blanca,67.0,18.0,22.0,1,4.125,675746.0,9630986.0,True,False,False,Inlier,1.2204587558659021,0.532202554254786,0.532202554254786,1.2204587558659021
27,Cumala blanca,47.0,16.0,22.0,1,1.804,675752.0,9630970.0,True,False,False,Inlier,-1.0034883103786305,0.532202554254786,0.532202554254786,-1.0034883103786305
28,Cumala blanca,55.0,14.0,21.0,1,2.162,675745.0,9630970.0,True,False,False,Inlier,-0.11390948388081742,0.09305176734769184,0.09305176734769184,-0.11390948388081742
29,Pashaco,75.0,14.0,21.0,1,4.02,675731.0,9631003.0,True,False,False,Inlier,0.04379507864394352,0.13351929129294018,0.13351929129294018,0.04379507864394352
30,Cumala blanca,46.0,15.0,21.0,1,1.62,675759.0,9631036.0,True,False,False,Inlier,-1.114685663690857,0.09305176734769184,0.09305176734769184,-1.114685663690857
31,Cumala blanca,49.0,16.0,20.0,1,1.961,675825.0,9631058.0,True,False,False,Inlier,-0.7810936037541771,-0.34609901955940237,-0.34609901955940237,-0.7810936037541771
32,Yacushapana,110.0,10.0,20.0,1,6.177,675775.0,9631089.0,True,False,False,Inlier,1.8888876848310028,-0.4050542049426917,-0.4050542049426917,1.8888876848310028
33,Machimango,47.0,15.0,22.0,1,1.692,675772.0,9631087.0,True,False,False,Inlier,-1.466888981837373,0.5103147912118169,0.5103147912118169,-1.466888981837373
34,Yacushapana,53.0,15.0,20.0,1,2.151,675749.0,9631072.0,True,False,False,Inlier,-1.1479530600170051,-0.4050542049426917,-0.4050542049426917,-1.1479530600170051
35,Palisangre,57.0,12.0,18.0,1,1.99,675757.0,9631047.0,True,False,False,Inlier,-1.2023219227206097,-1.0957735614979403,-1.0957735614979403,-1.2023219227206097
36,Palisangre,90.0,11.0,19.0,1,4.549,675777.0,9631153.0,True,False,False,Inlier,0.7989359333465094,-0.6652047006885953,-0.6652047006885953,0.7989359333465094
37,Aguanillo,59.0,12.0,19.0,2,2.133,675807.0,9631159.0,True,False,False,Inlier,0.6022467854117912,,,0.6022467854117912
38,Ana caspi,67.0,15.0,20.0,1,3.438,675820.0,9631156.0,True,False,False,Inlier,-0.4447747590405677,-0.689732273979135,-0.689732273979135,-0.4447747590405677
39,Panguana,64.0,15.0,20.0,1,3.137,675819.0,9631178.0,True,False,False,Inlier,-0.8463076953018511,-0.5621230735894414,-0.5621230735894414,-0.8463076953018511
40,Machimango,60.0,14.0,19.0,2,2.573,675801.0,9631198.0,True,False,False,Inlier,-0.21672326525008218,-0.8705369967730983,-0.8705369967730983,-0.21672326525008218
41,Cumala caupuri,70.0,18.0,23.0,1,4.503,675801.0,9631218.0,True,False,False,Inlier,1.313985214041303,0.7706538719013182,0.7706538719013182,1.313985214041303
42,Cumala blanca,90.0,20.0,25.0,1,8.27,675785.0,9631225.0,True,True,False,Inlier,3.7779978820471145,1.8496549149760686,1.8496549149760686,3.7779978820471145
43,Machimango,50.0,15.0,21.0,1,1.914,675786.0,9631240.0,True,False,False,Inlier,-1.1783892010864596,0.05003086188351185,0.05003086188351185,-1.1783892010864596
44,Cumala blanca,80.0,18.0,24.0,1,5.881,675789.0,9631242.0,True,True,False,Inlier,2.6660243489248483,1.4105041280689745,1.4105041280689745,2.6660243489248483
45,Almendro,130.0,13.0,20.0,1,11.216,675778.0,9631246.0,True,True,False,Inlier,2.52909135660331,0.584204949066366,0.584204949066366,2.52909135660331
46,Anuje rumo,65.0,16.0,20.0,1,3.451,675759.0,9631292.0,True,False,False,Inlier,0.09538244309580897,0.133791923239271,0.133791923239271,0.09538244309580897
47,Canela moena,46.0,16.0,21.0,1,1.728,675766.0,9631281.0,True,False,False,Inlier,-1.0995392381963713,0.9729119999396679,0.9729119999396679,-1.0995392381963713
48,Canela moena,47.0,15.0,21.0,2,1.692,675743.0,9631250.0,True,False,False,Inlier,-0.9626970185955129,0.9729119999396679,0.9729119999396679,-0.9626970185955129
