,Dap,Dap,Dap,Dap,Dap,Dap,Dap,Dap,HC,HC,HC,HC,HC,HC,HC,HC,HT,HT,HT,HT,HT,HT,HT,HT,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,VOL M3,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,ESTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE,NORTE
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Especie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguanillo,44.0,51.63636363636363,7.051606807130406,46.0,46.75,48.0,55.25,73.0,44.0,17.522727272727273,2.4917411150348623,12.0,17.0,18.0,19.0,24.0,44.0,26.227272727272727,31.66456726841507,16.0,20.0,21.0,23.0,231.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,675377.3409090909,1394.7463876022,673563.0,673832.25,675693.0,676503.25,677958.0,44.0,9631850.25,1366.6331762298519,9630637.0,9631034.75,9631459.5,9631975.25,9636084.0
Almendro,39.0,60.43589743589744,11.942394346446857,46.0,52.5,58.0,64.5,110.0,39.0,14.025641025641026,2.8790274261246394,8.0,12.0,14.0,16.0,20.0,39.0,18.923076923076923,2.240589858715726,13.0,18.0,19.0,20.0,24.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,675432.358974359,1581.0395562011106,673568.0,674081.5,674802.0,676975.0,678024.0,39.0,9632428.282051282,1741.267958289046,9630688.0,9631236.5,9631656.0,9633228.0,9636596.0
Ana caspi,14.0,62.42857142857143,13.218368837540991,50.0,51.5,56.0,71.5,92.0,14.0,17.857142857142858,2.2483204964917824,14.0,16.0,18.0,19.75,22.0,14.0,22.5,1.0919284281983377,21.0,22.0,22.0,23.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,674990.0,1621.1355469356847,673609.0,673703.5,674017.0,676457.5,678072.0,14.0,9631888.142857144,1056.4435153376166,9630672.0,9631199.0,9631709.0,9632080.25,9634475.0
Andiroba,29.0,54.41379310344828,9.194397523101113,42.0,48.0,52.0,60.0,80.0,29.0,15.793103448275861,2.664305194133676,10.0,14.0,16.0,17.0,21.0,29.0,19.896551724137932,2.857881677874202,15.0,18.0,20.0,21.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,676013.5172413794,1253.8807080616805,673596.0,675470.0,676179.0,676900.0,678014.0,29.0,9632170.48275862,1538.20813241274,9630676.0,9631301.0,9631730.0,9631944.0,9635944.0
Anuje rumo,33.0,56.90909090909091,7.0327965470876,47.0,52.0,55.0,60.0,75.0,33.0,15.727272727272727,2.478315043440897,10.0,15.0,16.0,17.0,22.0,33.0,19.87878787878788,2.1902850236552514,15.0,19.0,20.0,21.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,675350.9696969697,1329.3149665534615,673701.0,674223.0,675017.0,676200.0,677974.0,33.0,9632122.878787879,1451.54837065407,9630660.0,9631284.0,9631614.0,9631992.0,9636506.0
Azucar huayo,18.0,58.72222222222222,15.071615532889693,51.0,51.0,52.0,55.0,105.0,18.0,17.5,2.8748401490088002,12.0,16.0,18.0,19.75,22.0,18.0,21.38888888888889,2.9929110143586435,16.0,20.0,20.0,24.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,674928.9444444445,1318.215570705214,673682.0,673878.75,674104.0,675999.0,677306.0,18.0,9632424.5,1749.8934505378588,9630628.0,9631139.5,9631733.0,9633558.0,9635969.0
Cachimbo,13.0,61.30769230769231,14.314238921348066,47.0,50.0,60.0,68.0,92.0,13.0,17.76923076923077,1.1657505560686465,15.0,18.0,18.0,18.0,19.0,13.0,21.846153846153847,1.4051188470584879,19.0,21.0,22.0,23.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,674864.5384615385,1290.6587216988987,673716.0,674102.0,674272.0,675081.0,677700.0,13.0,9632179.384615384,1454.9625733136884,9630645.0,9630990.0,9631662.0,9632905.0,9635310.0
Caimitillo,26.0,55.61538461538461,7.348887932616326,46.0,50.0,55.0,60.0,77.0,26.0,16.26923076923077,2.35894370102709,12.0,14.0,16.0,18.0,20.0,26.0,20.23076923076923,1.817860111398945,18.0,19.0,20.0,21.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,675371.0,1451.0491928256602,673627.0,674139.5,674923.0,676833.5,677863.0,26.0,9632092.884615384,1296.4413855450025,9630613.0,9631106.5,9631809.0,9632547.75,9635193.0
